story_id	title	name	changed_pixels	changed_percent	report_dir
design-system-foundation-overview--spacing	Design System/Foundation/Overview	Spacing	0	0	/home/manuel/workspaces/2026-05-27/rag-evaluation-system/2026-05-27--rag-evaluation-system/ttmp/2026/06/07/RAGEVAL-DESIGN-SYSTEM-UNIFY--unify-web-design-system-into-reusable-rag-evaluation-site-package/sources/visual-parity/package-story-sweep/reports/design-system-foundation-overview--spacing
design-system-foundation-overview--borders-and-radii	Design System/Foundation/Overview	Borders And Radii	0	0	/home/manuel/workspaces/2026-05-27/rag-evaluation-system/2026-05-27--rag-evaluation-system/ttmp/2026/06/07/RAGEVAL-DESIGN-SYSTEM-UNIFY--unify-web-design-system-into-reusable-rag-evaluation-site-package/sources/visual-parity/package-story-sweep/reports/design-system-foundation-overview--borders-and-radii
design-system-foundation-overview--accessibility	Design System/Foundation/Overview	Accessibility	0	0	/home/manuel/workspaces/2026-05-27/rag-evaluation-system/2026-05-27--rag-evaluation-system/ttmp/2026/06/07/RAGEVAL-DESIGN-SYSTEM-UNIFY--unify-web-design-system-into-reusable-rag-evaluation-site-package/sources/visual-parity/package-story-sweep/reports/design-system-foundation-overview--accessibility
design-system-foundation-statustext--workflow-statuses	Design System/Foundation/StatusText	Workflow Statuses	0	0	/home/manuel/workspaces/2026-05-27/rag-evaluation-system/2026-05-27--rag-evaluation-system/ttmp/2026/06/07/RAGEVAL-DESIGN-SYSTEM-UNIFY--unify-web-design-system-into-reusable-rag-evaluation-site-package/sources/visual-parity/package-story-sweep/reports/design-system-foundation-statustext--workflow-statuses
design-system-foundation-text--body	Design System/Foundation/Text	Body	0	0	/home/manuel/workspaces/2026-05-27/rag-evaluation-system/2026-05-27--rag-evaluation-system/ttmp/2026/06/07/RAGEVAL-DESIGN-SYSTEM-UNIFY--unify-web-design-system-into-reusable-rag-evaluation-site-package/sources/visual-parity/package-story-sweep/reports/design-system-foundation-text--body
design-system-foundation-text--roles	Design System/Foundation/Text	Roles	0	0	/home/manuel/workspaces/2026-05-27/rag-evaluation-system/2026-05-27--rag-evaluation-system/ttmp/2026/06/07/RAGEVAL-DESIGN-SYSTEM-UNIFY--unify-web-design-system-into-reusable-rag-evaluation-site-package/sources/visual-parity/package-story-sweep/reports/design-system-foundation-text--roles
design-system-foundation-text--tones	Design System/Foundation/Text	Tones	0	0	/home/manuel/workspaces/2026-05-27/rag-evaluation-system/2026-05-27--rag-evaluation-system/ttmp/2026/06/07/RAGEVAL-DESIGN-SYSTEM-UNIFY--unify-web-design-system-into-reusable-rag-evaluation-site-package/sources/visual-parity/package-story-sweep/reports/design-system-foundation-text--tones
design-system-foundation-visuallyhidden--accessible-label	Design System/Foundation/VisuallyHidden	Accessible Label	0	0	/home/manuel/workspaces/2026-05-27/rag-evaluation-system/2026-05-27--rag-evaluation-system/ttmp/2026/06/07/RAGEVAL-DESIGN-SYSTEM-UNIFY--unify-web-design-system-into-reusable-rag-evaluation-site-package/sources/visual-parity/package-story-sweep/reports/design-system-foundation-visuallyhidden--accessible-label
design-system-layout-appshell--basic	Design System/Layout/AppShell	Basic	0	0	/home/manuel/workspaces/2026-05-27/rag-evaluation-system/2026-05-27--rag-evaluation-system/ttmp/2026/06/07/RAGEVAL-DESIGN-SYSTEM-UNIFY--unify-web-design-system-into-reusable-rag-evaluation-site-package/sources/visual-parity/package-story-sweep/reports/design-system-layout-appshell--basic
design-system-layout-dashboardgrid--search-workbench	Design System/Layout/DashboardGrid	Search Workbench	0	0	/home/manuel/workspaces/2026-05-27/rag-evaluation-system/2026-05-27--rag-evaluation-system/ttmp/2026/06/07/RAGEVAL-DESIGN-SYSTEM-UNIFY--unify-web-design-system-into-reusable-rag-evaluation-site-package/sources/visual-parity/package-story-sweep/reports/design-system-layout-dashboardgrid--search-workbench
design-system-layout-dashboardgrid--corpus-explorer	Design System/Layout/DashboardGrid	Corpus Explorer	0	0	/home/manuel/workspaces/2026-05-27/rag-evaluation-system/2026-05-27--rag-evaluation-system/ttmp/2026/06/07/RAGEVAL-DESIGN-SYSTEM-UNIFY--unify-web-design-system-into-reusable-rag-evaluation-site-package/sources/visual-parity/package-story-sweep/reports/design-system-layout-dashboardgrid--corpus-explorer
design-system-layout-formrow--basic	Design System/Layout/FormRow	Basic	0	0	/home/manuel/workspaces/2026-05-27/rag-evaluation-system/2026-05-27--rag-evaluation-system/ttmp/2026/06/07/RAGEVAL-DESIGN-SYSTEM-UNIFY--unify-web-design-system-into-reusable-rag-evaluation-site-package/sources/visual-parity/package-story-sweep/reports/design-system-layout-formrow--basic
design-system-layout-inline--toolbar	Design System/Layout/Inline	Toolbar	0	0	/home/manuel/workspaces/2026-05-27/rag-evaluation-system/2026-05-27--rag-evaluation-system/ttmp/2026/06/07/RAGEVAL-DESIGN-SYSTEM-UNIFY--unify-web-design-system-into-reusable-rag-evaluation-site-package/sources/visual-parity/package-story-sweep/reports/design-system-layout-inline--toolbar
design-system-layout-panel--default	Design System/Layout/Panel	Default	0	0	/home/manuel/workspaces/2026-05-27/rag-evaluation-system/2026-05-27--rag-evaluation-system/ttmp/2026/06/07/RAGEVAL-DESIGN-SYSTEM-UNIFY--unify-web-design-system-into-reusable-rag-evaluation-site-package/sources/visual-parity/package-story-sweep/reports/design-system-layout-panel--default
design-system-layout-panel--with-actions	Design System/Layout/Panel	With Actions	0	0	/home/manuel/workspaces/2026-05-27/rag-evaluation-system/2026-05-27--rag-evaluation-system/ttmp/2026/06/07/RAGEVAL-DESIGN-SYSTEM-UNIFY--unify-web-design-system-into-reusable-rag-evaluation-site-package/sources/visual-parity/package-story-sweep/reports/design-system-layout-panel--with-actions
design-system-layout-scrollregion--vertical	Design System/Layout/ScrollRegion	Vertical	0	0	/home/manuel/workspaces/2026-05-27/rag-evaluation-system/2026-05-27--rag-evaluation-system/ttmp/2026/06/07/RAGEVAL-DESIGN-SYSTEM-UNIFY--unify-web-design-system-into-reusable-rag-evaluation-site-package/sources/visual-parity/package-story-sweep/reports/design-system-layout-scrollregion--vertical
design-system-layout-stack--panel-stack	Design System/Layout/Stack	Panel Stack	0	0	/home/manuel/workspaces/2026-05-27/rag-evaluation-system/2026-05-27--rag-evaluation-system/ttmp/2026/06/07/RAGEVAL-DESIGN-SYSTEM-UNIFY--unify-web-design-system-into-reusable-rag-evaluation-site-package/sources/visual-parity/package-story-sweep/reports/design-system-layout-stack--panel-stack
design-system-layout-tablist--interactive	Design System/Layout/TabList	Interactive	0	0	/home/manuel/workspaces/2026-05-27/rag-evaluation-system/2026-05-27--rag-evaluation-system/ttmp/2026/06/07/RAGEVAL-DESIGN-SYSTEM-UNIFY--unify-web-design-system-into-reusable-rag-evaluation-site-package/sources/visual-parity/package-story-sweep/reports/design-system-layout-tablist--interactive
component-library-molecules-appnav--search-active	Component Library/Molecules/AppNav	Search Active	0	0	/home/manuel/workspaces/2026-05-27/rag-evaluation-system/2026-05-27--rag-evaluation-system/ttmp/2026/06/07/RAGEVAL-DESIGN-SYSTEM-UNIFY--unify-web-design-system-into-reusable-rag-evaluation-site-package/sources/visual-parity/package-story-sweep/reports/component-library-molecules-appnav--search-active
component-library-molecules-appnav--interactive	Component Library/Molecules/AppNav	Interactive	0	0	/home/manuel/workspaces/2026-05-27/rag-evaluation-system/2026-05-27--rag-evaluation-system/ttmp/2026/06/07/RAGEVAL-DESIGN-SYSTEM-UNIFY--unify-web-design-system-into-reusable-rag-evaluation-site-package/sources/visual-parity/package-story-sweep/reports/component-library-molecules-appnav--interactive
component-library-molecules-datatable--retrieval-rows	Component Library/Molecules/DataTable	Retrieval Rows	0	0	/home/manuel/workspaces/2026-05-27/rag-evaluation-system/2026-05-27--rag-evaluation-system/ttmp/2026/06/07/RAGEVAL-DESIGN-SYSTEM-UNIFY--unify-web-design-system-into-reusable-rag-evaluation-site-package/sources/visual-parity/package-story-sweep/reports/component-library-molecules-datatable--retrieval-rows
component-library-molecules-metadatagrid--result-identity	Component Library/Molecules/MetadataGrid	Result Identity	0	0	/home/manuel/workspaces/2026-05-27/rag-evaluation-system/2026-05-27--rag-evaluation-system/ttmp/2026/06/07/RAGEVAL-DESIGN-SYSTEM-UNIFY--unify-web-design-system-into-reusable-rag-evaluation-site-package/sources/visual-parity/package-story-sweep/reports/component-library-molecules-metadatagrid--result-identity
widget-ir-renderer--primitive-atoms	Widget IR/Renderer	Primitive Atoms	0	0	/home/manuel/workspaces/2026-05-27/rag-evaluation-system/2026-05-27--rag-evaluation-system/ttmp/2026/06/07/RAGEVAL-DESIGN-SYSTEM-UNIFY--unify-web-design-system-into-reusable-rag-evaluation-site-package/sources/visual-parity/package-story-sweep/reports/widget-ir-renderer--primitive-atoms
widget-ir-renderer--foundation-statuses	Widget IR/Renderer	Foundation Statuses	0	0	/home/manuel/workspaces/2026-05-27/rag-evaluation-system/2026-05-27--rag-evaluation-system/ttmp/2026/06/07/RAGEVAL-DESIGN-SYSTEM-UNIFY--unify-web-design-system-into-reusable-rag-evaluation-site-package/sources/visual-parity/package-story-sweep/reports/widget-ir-renderer--foundation-statuses
widget-ir-renderer--layout-recipes	Widget IR/Renderer	Layout Recipes	0	0	/home/manuel/workspaces/2026-05-27/rag-evaluation-system/2026-05-27--rag-evaluation-system/ttmp/2026/06/07/RAGEVAL-DESIGN-SYSTEM-UNIFY--unify-web-design-system-into-reusable-rag-evaluation-site-package/sources/visual-parity/package-story-sweep/reports/widget-ir-renderer--layout-recipes
widget-ir-renderer--metadata-grid-variants	Widget IR/Renderer	Metadata Grid Variants	0	0	/home/manuel/workspaces/2026-05-27/rag-evaluation-system/2026-05-27--rag-evaluation-system/ttmp/2026/06/07/RAGEVAL-DESIGN-SYSTEM-UNIFY--unify-web-design-system-into-reusable-rag-evaluation-site-package/sources/visual-parity/package-story-sweep/reports/widget-ir-renderer--metadata-grid-variants
widget-ir-renderer--data-table-cell-kinds	Widget IR/Renderer	Data Table Cell Kinds	0	0	/home/manuel/workspaces/2026-05-27/rag-evaluation-system/2026-05-27--rag-evaluation-system/ttmp/2026/06/07/RAGEVAL-DESIGN-SYSTEM-UNIFY--unify-web-design-system-into-reusable-rag-evaluation-site-package/sources/visual-parity/package-story-sweep/reports/widget-ir-renderer--data-table-cell-kinds
widget-ir-renderer--data-table-empty-and-malformed	Widget IR/Renderer	Data Table Empty And Malformed	0	0	/home/manuel/workspaces/2026-05-27/rag-evaluation-system/2026-05-27--rag-evaluation-system/ttmp/2026/06/07/RAGEVAL-DESIGN-SYSTEM-UNIFY--unify-web-design-system-into-reusable-rag-evaluation-site-package/sources/visual-parity/package-story-sweep/reports/widget-ir-renderer--data-table-empty-and-malformed
widget-ir-renderer--search-workbench-composition	Widget IR/Renderer	Search Workbench Composition	0	0	/home/manuel/workspaces/2026-05-27/rag-evaluation-system/2026-05-27--rag-evaluation-system/ttmp/2026/06/07/RAGEVAL-DESIGN-SYSTEM-UNIFY--unify-web-design-system-into-reusable-rag-evaluation-site-package/sources/visual-parity/package-story-sweep/reports/widget-ir-renderer--search-workbench-composition
widget-ir-renderer--corpus-explorer-skeleton	Widget IR/Renderer	Corpus Explorer Skeleton	0	0	/home/manuel/workspaces/2026-05-27/rag-evaluation-system/2026-05-27--rag-evaluation-system/ttmp/2026/06/07/RAGEVAL-DESIGN-SYSTEM-UNIFY--unify-web-design-system-into-reusable-rag-evaluation-site-package/sources/visual-parity/package-story-sweep/reports/widget-ir-renderer--corpus-explorer-skeleton
widget-ir-renderer--workflow-dashboard-skeleton	Widget IR/Renderer	Workflow Dashboard Skeleton	0	0	/home/manuel/workspaces/2026-05-27/rag-evaluation-system/2026-05-27--rag-evaluation-system/ttmp/2026/06/07/RAGEVAL-DESIGN-SYSTEM-UNIFY--unify-web-design-system-into-reusable-rag-evaluation-site-package/sources/visual-parity/package-story-sweep/reports/widget-ir-renderer--workflow-dashboard-skeleton
